Jackson County,Georgia,25180,8.2,3.9,6.8,9.8,10.9,15.3,14.8,17.7,5.9,6.6,65063,84923,31.7,GA
Lowndes County,Georgia,42639,8.1,3.8,13.1,14.9,13.6,20,12.1,8.4,2.9,3.2,45683,62009,61.6,GA
Muscogee County,Georgia,73134,10.2,5.2,10.7,13,13.9,18.6,10.2,9.9,3.1,5.2,46934,70702,48.3,GA
Newton County,Georgia,37867,5.6,4.8,10.7,9.5,14,22.9,9.7,15.3,4.4,3.2,57254,70273,35.7,GA
Paulding County,Georgia,56476,5.4,0.9,5.8,5.1,12.6,19.2,17.9,22.5,7.8,2.7,75800,82879,33.1,GA
Richmond County,Georgia,68361,7.8,7.6,10.9,12.1,16.4,20.4,10.6,9.1,2.3,2.9,44973,59361,40.5,GA
Rockdale County,Georgia,32792,7.4,2.4,6.8,8.4,16.6,17.3,14,18.6,2.2,6.3,60560,78651,52.9,GA
Spalding County,Georgia,25339,5.5,5.5,11.6,10.8,14.8,21.2,12.5,9.3,4.5,4.2,51677,68860,31.3,GA
Troup County,Georgia,24436,12.9,5.2,11.3,10.2,12.8,18.3,10.9,11.8,2.7,4,46198,62990,39.4,GA
Walker County,Georgia,26760,3.6,8.5,13.5,12.5,12.7,22.5,12.6,9.6,2,2.4,47856,58818,22.2,GA
Walton County,Georgia,33350,4.5,2,9.9,6.6,15.2,16.9,13,16.9,11.8,3.4,66176,82283,40.7,GA
Whitfield County,Georgia,34518,4.3,5.9,9.5,13.2,15.5,18.8,13.1,11.4,3.4,5,52198,72484,34.6,GA
Hawaii County,Hawaii,71193,6.2,4,10.4,7.7,9.9,16.2,13.1,16.7,8.7,7.1,67075,88393,39,HI
Honolulu County,Hawaii,316456,4.6,2.5,4.9,6.1,8.2,16.7,13.5,20.7,10.7,12.2,87470,111776,40,HI
Kauai County,Hawaii,22898,4.8,1,6.7,5,11.6,18.1,11.9,23.1,9.2,8.5,81971,100559,47.1,HI
Maui County,Hawaii,54744,6,2.1,5.7,6.6,8.6,18,14.7,18.7,10.4,9.1,80754,99883,42.5,HI
Ada County,Idaho,184160,3.7,2.5,6.2,8.5,11.7,18.9,15,16.7,8.2,8.6,72021,96684,26.1,ID
Bannock County,Idaho,32010,5.7,5.7,11.8,11,13.7,20.2,10.5,14.6,5.1,1.8,51989,65404,31,ID
Bonneville County,Idaho,40776,4.9,3.7,10.5,6.1,14.7,17.5,12.5,18.3,6.3,5.3,64618,84685,30.4,ID
Canyon County,Idaho,77449,3.3,3.7,7.9,10.4,15,23.3,15.2,14.7,3.2,3.2,58945,71937,32.8,ID
Kootenai County,Idaho,65283,2.8,2.1,10.4,9.8,12.9,24.2,13.9,16.1,3.7,4.1,62579,74659,27,ID
Twin Falls County,Idaho,31850,4.8,4.8,10.1,9.7,13.5,23.8,15.5,10.7,2.9,4.2,56276,72044,30.6,ID
Adams County,Illinois,26993,6.3,2.4,7.6,8.7,18.1,19.8,16.6,13.5,4.3,2.5,55727,70658,33.3,IL
Champaign County,Illinois,81764,10.1,4.1,11.7,8.4,12.1,17.8,10.3,13.3,6.1,6,52405,74061,33.3,IL
Cook County,Illinois,1985613,7,4,7.9,8.2,10.5,15.7,12.1,16.2,8,10.5,69429,100785,38,IL
DeKalb County,Illinois,39330,8.9,1.7,9.8,8.4,9.6,18.3,13.4,16.7,7.7,5.4,64131,79542,29.8,IL
DuPage County,Illinois,342195,2.6,1.8,5.1,5.4,9,15.2,12.8,21,11.8,15.4,96403,126800,33.1,IL
Kane County,Illinois,182223,3.3,2.4,5.8,6.3,10.7,16.4,14.1,21.4,8.4,11.3,84368,107823,39.6,IL
Kankakee County,Illinois,39583,6.1,3.1,8.7,8,16.7,15.3,15.5,18.5,5.5,2.7,60923,73666,37.6,IL
Kendall County,Illinois,41364,1,0.3,4.8,4.3,6.2,16.5,12.9,29.9,14.9,9.2,104858,114034,32.3,IL
Lake County,Illinois,247661,3.7,2.5,5.3,5.3,10,14.3,12.4,18.3,11,17.2,92511,129550,35.9,IL
LaSalle County,Illinois,45411,6.4,3.6,9.7,9.7,13.7,19.7,14.3,14.8,5.2,2.9,59130,71489,33.3,IL
McHenry County,Illinois,112669,2.2,1.9,5.1,5,10.4,17.1,15.1,20,12.2,10.9,88879,108205,30.3,IL
McLean County,Illinois,65118,11.6,2.5,6.9,6,10.2,16.7,13.2,18,7.4,7.5,68784,88239,26,IL
Macon County,Illinois,42741,11.7,4.1,8,10.7,14.7,17.5,13.2,12.8,2.9,4.4,50839,69620,27.5,IL
Madison County,Illinois,108104,5,3.4,8.8,9.4,11.2,17.2,14.1,17.6,6.5,6.8,67440,87113,32.4,IL
Peoria County,Illinois,73666,8,4.4,10.1,8.7,13.2,17.1,12.5,13.4,6,6.5,57247,82292,30.5,IL
Rock Island County,Illinois,60618,6.9,6.4,8.3,8.4,13.5,18.7,13.7,17,4.4,2.8,58313,70342,42.7,IL
St. Clair County,Illinois,106156,7.5,3.1,10.1,9.8,14.2,16,13.7,12.8,7.6,5.1,57169,77996,42.5,IL
Sangamon County,Illinois,83263,5.8,4.2,8.1,9.8,13.1,17.8,13,17,6.3,5,61280,80923,41,IL
Tazewell County,Illinois,53127,3.3,3.4,9.1,9.3,12.2,20.8,13.9,17.6,5.9,4.4,65848,78686,33,IL
