"zip"|"type"|"state"|"county"|"country"|"latitude"|"longitude"|"irs_estimated_population"
"01062"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.32"|"-72.67"|"10010"
"01063"|"UNIQUE"|"MA"|"Hampshire County"|"US"|"42.32"|"-72.64"|"177"
"01066"|"PO BOX"|"MA"|"Hampshire County"|"US"|"42.41"|"-72.66"|"402"
"01068"|"STANDARD"|"MA"|"Worcester County"|"US"|"42.35"|"-72.05"|"1790"
"01069"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.16"|"-72.32"|"6950"
"01070"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.51"|"-72.91"|"530"
"01071"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.18"|"-72.85"|"1440"
"01072"|"STANDARD"|"MA"|"Franklin County"|"US"|"42.45"|"-72.4"|"1390"
"01073"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.23"|"-72.73"|"6050"
"01074"|"PO BOX"|"MA"|"Worcester County"|"US"|"42.39"|"-72.09"|"655"
"01075"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.26"|"-72.56"|"14610"
"01077"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.05"|"-72.76"|"8880"
"01079"|"PO BOX"|"MA"|"Hampden County"|"US"|"42.2"|"-72.33"|"992"
"01080"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.18"|"-72.37"|"1960"
"01081"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.06"|"-72.21"|"1520"
"01082"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.25"|"-72.24"|"8920"
"01083"|"PO BOX"|"MA"|"Worcester County"|"US"|"42.21"|"-72.19"|"3037"
"01084"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.39"|"-72.88"|"137"
"01085"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.13"|"-72.75"|"34400"
"01086"|"PO BOX"|"MA"|"Hampden County"|"US"|"42.13"|"-72.79"|"886"
"01088"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.39"|"-72.64"|"530"
"01089"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.12"|"-72.65"|"25250"
"01090"|"PO BOX"|"MA"|"Hampden County"|"US"|"42.12"|"-72.65"|"510"
"01092"|"PO BOX"|"MA"|"Worcester County"|"US"|"42.19"|"-72.24"|"1332"
"01093"|"PO BOX"|"MA"|"Franklin County"|"US"|"42.44"|"-72.65"|"516"
"01094"|"PO BOX"|"MA"|"Worcester County"|"US"|"42.35"|"-72.14"|"340"
"01095"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.13"|"-72.43"|"14200"
"01096"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.4"|"-72.76"|"2260"
"01097"|"PO BOX"|"MA"|"Hampden County"|"US"|"42.18"|"-72.83"|"88"
"01098"|"STANDARD"|"MA"|"Hampshire County"|"US"|"42.41"|"-72.93"|"1090"
"01101"|"PO BOX"|"MA"|"Hampden County"|"US"|"42.11"|"-72.53"|"2038"
"01102"|"PO BOX"|"MA"|"Hampden County"|"US"|"42.11"|"-72.53"|"0"
"01103"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.1"|"-72.59"|"1660"
"01104"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.13"|"-72.57"|"19740"
"01105"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.1"|"-72.58"|"7930"
"01106"|"STANDARD"|"MA"|"Hampden County"|"US"|"42.04"|"-72.57"|"15310"
